,Unnamed: 0.1,Unnamed: 0,mz,rt,rt1,rt2,intensity,pic_label,score_inf,snr_inf,snr_mock,score_mock
303,303,303,496.2338836130828,1841.460714082428,1827.77840713407,1848.73770419502,806641.96875,1841.460714082428_496.2338836130828_806641.96875,0.4109839981525857,5.291718760922167,0.0,0.0
304,304,304,551.2706008089482,1846.0281149607408,1836.84141472722,1851.7582046165696,1170385.6767578125,1846.0281149607408_551.2706008089482_1170385.6767578125,0.0,6.542088476955306,0.0,0.0
307,307,307,383.5015655321222,1847.0159048307464,1836.84141472722,1854.77874008562,2503312.0908203125,1847.0159048307464_383.5015655321222_2503312.0908203125,2.719613546967931,8.46708978570699,0.0,0.0
309,309,309,409.20676647096826,1844.7663897895752,1833.8120311870805,1848.73770419502,2852854.474609375,1844.7663897895752_409.20676647096826_2852854.474609375,0.0,6.608453083590705,0.0,0.0
312,312,312,368.8732514020103,1847.661918347184,1839.87180570507,1854.77874008562,1567152.1953125,1847.661918347184_368.8732514020103_1567152.1953125,1.7537909617667886,7.382463491923439,0.0,0.0
314,314,314,512.2422354089994,1845.7597078955628,1842.84177664662,1857.79287306213,649166.4921875,1845.7597078955628_512.2422354089994_649166.4921875,0.0,9.612070949555775,0.0,0.0
315,315,315,540.3069132040284,1847.3431614387368,1836.84141472722,1860.81615904713,1692261.7255859375,1847.3431614387368_540.3069132040284_1692261.7255859375,2.3564896259365704,6.923671899823065,0.0,
316,316,316,554.7725491645139,1847.656966888352,1839.87180570507,1860.81615904713,5366410.485839844,1847.656966888352_554.7725491645139_5366410.485839844,2.707882704786296,8.485216595039628,0.0,0.0
318,318,318,597.7720588386784,1845.752465772808,1833.8120311870805,1857.79287306213,1563128.382446289,1845.752465772808_597.7720588386784_1563128.382446289,0.0,9.645849660197836,0.0,0.0
320,320,320,360.5407194898731,1847.3714272695672,1836.84141472722,1857.79287306213,6010881.27734375,1847.3714272695672_360.5407194898731_6010881.27734375,2.705971298187427,6.698826865377473,0.0,
322,322,322,374.1797191522983,1857.285062358968,1845.7662367000496,1869.62725070859,2964917.740234375,1857.285062358968_374.1797191522983_2964917.740234375,0.0,8.135913371650332,1.6423444718524731,
324,324,324,482.2567781365439,1858.6203571148108,1848.73770419502,1869.62725070859,2155754.44140625,1858.6203571148108_482.2567781365439_2155754.44140625,0.0,9.314585549245136,0.0,0.0
325,325,325,460.68246137253976,1862.2990800428324,1848.73770419502,1866.76113919164,2837467.509033203,1862.2990800428324_460.68246137253976_2837467.509033203,0.7421030922710421,7.252922047638273,0.0,0.0
326,326,326,524.7457835480109,1859.119652149384,1848.73770419502,1869.62725070859,3096969.6123046875,1859.119652149384_524.7457835480109_3096969.6123046875,2.10999295404613,8.270504064096656,1.766235970416896,0.0
327,327,327,359.55414053464847,1854.1006458172128,1804.55186263467,1874.5725006237,5121844.115234375,1854.1006458172128_359.55414053464847_5121844.115234375,0.0,5.994079199441266,0.0,0.0
328,328,328,497.78199219461374,1866.176529540368,1854.77874008562,1872.15063671016,7694067.09375,1866.176529540368_497.78199219461374_7694067.09375,0.0,6.2378624221400525,0.0,
329,329,329,491.1730549860925,1870.4185844525136,1860.81615904713,1877.34615603828,2433271.7456054688,1870.4185844525136_491.1730549860925_2433271.7456054688,0.0,7.925351526190819,0.0,
331,331,331,360.54006828680417,1869.938597874508,1857.79287306213,1886.30483523753,6067082.1953125,1869.938597874508_360.54006828680417_6067082.1953125,0.0,7.259420828836864,0.0,
332,332,332,474.7184166946519,1873.122206503872,1860.81615904713,1883.28747121239,48520214.82617188,1873.122206503872_474.7184166946519_48520214.82617188,3.0299728877711973,8.61193746869679,0.0,0.0
335,335,335,441.5409494295764,1876.728891008584,1866.76113919164,1883.28747121239,2810111.41015625,1876.728891008584_441.5409494295764_2810111.41015625,0.0,6.871600610876861,0.0,
336,336,336,523.2847650959968,1878.7998670709023,1869.62725070859,1883.28747121239,3752085.1640625,1878.7998670709023_523.2847650959968_3752085.1640625,1.28558320461487,5.451657172314963,0.0,
337,337,337,629.7258135679277,1875.10810869846,1869.62725070859,1883.28747121239,1735658.16015625,1875.10810869846_629.7258135679277_1735658.16015625,0.0,6.312700316108179,0.0,
339,339,339,562.3133090141582,1874.045160493775,1863.84216610338,1886.30483523753,2973326.658203125,1874.045160493775_562.3133090141582_2973326.658203125,0.0,4.428026929274671,0.0,
341,341,341,365.2009504149639,1886.681197752648,1877.34615603828,1898.25989416983,45167668.7578125,1886.681197752648_365.2009504149639_45167668.7578125,0.0,8.516820600590814,0.0,0.0
342,342,342,393.5350295545368,1880.3706703050457,1872.15063671016,1889.3202027454504,21373715.0390625,1880.3706703050457_393.5350295545368_21373715.0390625,0.0,8.357550672824464,0.0,
343,343,343,404.8446232674393,1884.983909386204,1874.5725006237,1895.29845622923,6539872.4130859375,1884.983909386204_404.8446232674393_6539872.4130859375,2.5049194956015564,10.144596378260005,0.0,0.0
344,344,344,427.247162137817,1889.3367655148447,1877.34615603828,1892.33606723691,14087932.505371094,1889.3367655148447_427.247162137817_14087932.505371094,0.0,7.345329162954525,0.0,0.0
346,346,346,396.4968798532858,1892.149697015533,1883.28747121239,1901.28754357245,12488325.751953123,1892.149697015533_396.4968798532858_12488325.751953123,0.0,7.1576245843179045,0.0,
347,347,347,358.5302416939241,1888.1329654444032,1877.34615603828,1936.97658804798,46944901.72900391,1888.1329654444032_358.5302416939241_46944901.72900391,3.008503436937227,9.446810140494769,0.0,
348,348,348,718.294290502384,1892.5205180277728,1883.28747121239,1898.25989416983,2383651.83203125,1892.5205180277728_718.294290502384_2383651.83203125,0.0,6.990933425893376,0.0,
349,349,349,454.2345636297122,1891.6527184783413,1872.15063671016,1916.07485965635,181955608.1796875,1891.6527184783413_454.2345636297122_181955608.1796875,0.0,9.036520387608377,0.0,0.0
353,353,353,415.2296252333607,1898.1508631389768,1892.33606723691,1910.2879115715,2999363.78125,1898.1508631389768_415.2296252333607_2999363.78125,0.0,4.99963803159081,0.0,0.0
354,354,354,563.2590897589536,1898.2448501985805,1895.29845622923,1910.2879115715,3002398.4765625,1898.2448501985805_563.2590897589536_3002398.4765625,0.0,6.482731294726403,0.0,
